student_id,event_name,attendance_status,event_id
S001,Athletics,Absent,E07
S002,Tennis,Absent,E10
S003,Tennis,Present,E10
S004,Basketball,Present,E02
S005,Athletics,Absent,E07
S006,Tennis,Present,E10
S007,Volleyball,Present,E09
S008,Cricket,Present,E03
S009,Basketball,Absent,E02
S010,Football,Present,E01
S011,Volleyball,Present,E09
S012,Swimming,Absent,E08
S013,Tennis,Absent,E10
S014,Athletics,Absent,E07
S015,Chess,Present,E06
S016,Basketball,Present,E02
S017,Swimming,Present,E08
S018,Volleyball,Absent,E09
S019,Swimming,Absent,E08
S020,Athletics,Absent,E07
S021,Volleyball,Absent,E09
S022,Volleyball,Present,E09
S023,Cricket,Present,E03
S024,Badminton,Present,E04
S025,Chess,Present,E06
S026,Tennis,Absent,E10
S027,Volleyball,Absent,E09
S028,Football,Present,E01
S029,Badminton,Absent,E04
S030,Table Tennis,Present,E05
S031,Basketball,Present,E02
S032,Football,Present,E01
S033,Basketball,Absent,E02
S034,Table Tennis,Present,E05
S035,Volleyball,Present,E09
S036,Basketball,Absent,E02
S037,Tennis,Present,E10
S038,Chess,Absent,E06
S039,Volleyball,Present,E09
S040,Cricket,Absent,E03
S041,Volleyball,Absent,E09
S042,Basketball,Present,E02
S043,Athletics,Absent,E07
S044,Volleyball,Absent,E09
S045,Tennis,Present,E10
S046,Basketball,Absent,E02
S047,Table Tennis,Present,E05
S048,Athletics,Present,E07
S049,Table Tennis,Present,E05
S050,Athletics,Absent,E07
S051,Chess,Absent,E06
S052,Badminton,Absent,E04
S053,Volleyball,Absent,E09
S054,Athletics,Absent,E07
S055,Volleyball,Absent,E09
S056,Chess,Absent,E06
S057,Swimming,Present,E08
S058,Chess,Absent,E06
S059,Table Tennis,Present,E05
S060,Basketball,Present,E02
S061,Cricket,Present,E03
S062,Swimming,Absent,E08
S063,Cricket,Present,E03
S064,Swimming,Absent,E08
S065,Tennis,Present,E10
S066,Table Tennis,Absent,E05
S067,Volleyball,Absent,E09
S068,Volleyball,Present,E09
S069,Athletics,Present,E07
S070,Athletics,Absent,E07
S071,Table Tennis,Absent,E05
S072,Swimming,Present,E08
S073,Chess,Present,E06
S074,Cricket,Absent,E03
S075,Table Tennis,Absent,E05
S076,Basketball,Absent,E02
S077,Volleyball,Present,E09
S078,Chess,Absent,E06
S079,Basketball,Present,E02
S080,Cricket,Absent,E03
S081,Basketball,Absent,E02
S082,Chess,Absent,E06
S083,Chess,Absent,E06
S084,Cricket,Absent,E03
S085,Tennis,Present,E10
S086,Chess,Present,E06
S087,Volleyball,Present,E09
S088,Chess,Present,E06
S089,Swimming,Present,E08
S090,Volleyball,Present,E09
S091,Table Tennis,Present,E05
S092,Tennis,Present,E10
S093,Volleyball,Present,E09
S094,Table Tennis,Present,E05
S095,Badminton,Present,E04
S096,Athletics,Present,E07
S097,Table Tennis,Absent,E05
S098,Chess,Present,E06
S099,Football,Present,E01
S100,Tennis,Present,E10
S101,Athletics,Absent,E07
S102,Volleyball,Present,E09
S103,Basketball,Present,E02
S104,Swimming,Present,E08
S105,Swimming,Present,E08
S106,Chess,Present,E06
S107,Cricket,Absent,E03
S108,Table Tennis,Absent,E05
S109,Volleyball,Present,E09
S110,Basketball,Present,E02
S111,Swimming,Present,E08
S112,Badminton,Absent,E04
S113,Volleyball,Present,E09
S114,Athletics,Absent,E07
S115,Chess,Absent,E06
S116,Badminton,Present,E04
S117,Badminton,Present,E04
S118,Chess,Present,E06
S119,Swimming,Present,E08
S120,Table Tennis,Present,E05
S121,Swimming,Absent,E08
S122,Tennis,Absent,E10
S123,Table Tennis,Absent,E05
S124,Basketball,Present,E02
S125,Table Tennis,Present,E05
S126,Volleyball,Absent,E09
S127,Tennis,Absent,E10
S128,Basketball,Present,E02
S129,Swimming,Absent,E08
S130,Basketball,Absent,E02
S131,Chess,Absent,E06
S132,Swimming,Present,E08
S133,Swimming,Present,E08
S134,Cricket,Present,E03
S135,Cricket,Absent,E03
S136,Chess,Present,E06
S137,Volleyball,Absent,E09
S138,Badminton,Present,E04
S139,Volleyball,Present,E09
S140,Table Tennis,Present,E05
S141,Chess,Absent,E06
S142,Swimming,Present,E08
S143,Swimming,Present,E08
S144,Table Tennis,Absent,E05
S145,Table Tennis,Absent,E05
S146,Table Tennis,Absent,E05
S147,Swimming,Absent,E08
S148,Cricket,Present,E03
S149,Table Tennis,Absent,E05
S150,Tennis,Present,E10
S151,Table Tennis,Present,E05
S152,Chess,Present,E06
S153,Badminton,Absent,E04
S154,Cricket,Present,E03
S155,Swimming,Present,E08
S156,Basketball,Present,E02
S157,Athletics,Present,E07
S158,Tennis,Absent,E10
S159,Basketball,Absent,E02
S160,Cricket,Present,E03
S161,Chess,Present,E06
S162,Table Tennis,Present,E05
S163,Badminton,Absent,E04
S164,Football,Absent,E01
S165,Badminton,Absent,E04
S166,Basketball,Present,E02
S167,Volleyball,Present,E09
S168,Basketball,Absent,E02
S169,Badminton,Present,E04
S170,Swimming,Present,E08
S171,Athletics,Absent,E07
S172,Football,Present,E01
S173,Athletics,Absent,E07
S174,Basketball,Absent,E02
S175,Athletics,Absent,E07
S176,Table Tennis,Present,E05
S177,Athletics,Present,E07
S178,Chess,Absent,E06
S179,Tennis,Present,E10
S180,Swimming,Absent,E08
S181,Swimming,Absent,E08
S182,Tennis,Present,E10
S183,Badminton,Present,E04
S184,Tennis,Absent,E10
S185,Basketball,Absent,E02
S186,Football,Present,E01
S187,Cricket,Present,E03
S188,Badminton,Absent,E04
S189,Basketball,Present,E02
S190,Swimming,Absent,E08
S191,Chess,Present,E06
S192,Volleyball,Absent,E09
S193,Volleyball,Present,E09
S194,Athletics,Absent,E07
S195,Chess,Absent,E06
S196,Table Tennis,Absent,E05
S197,Tennis,Present,E10
S198,Football,Absent,E01
S199,Tennis,Present,E10
S200,Basketball,Absent,E02
S201,Football,Absent,E01
S202,Cricket,Absent,E03
S203,Badminton,Absent,E04
S204,Chess,Absent,E06
S205,Chess,Present,E06
S206,Swimming,Present,E08
S207,Cricket,Absent,E03
S208,Cricket,Absent,E03
S209,Football,Present,E01
S210,Football,Present,E01
S211,Tennis,Present,E10
S212,Football,Present,E01
S213,Badminton,Present,E04
S214,Chess,Present,E06
S215,Chess,Absent,E06
S216,Tennis,Present,E10
S217,Badminton,Present,E04
S218,Badminton,Present,E04
S219,Table Tennis,Absent,E05
S220,Basketball,Absent,E02
S221,Basketball,Absent,E02
S222,Table Tennis,Present,E05
S223,Basketball,Absent,E02
