sponsor_name,event_name,sponsorship_amount,event_id
Pepsi,Table Tennis,6825,E05
Pepsi,Badminton,40702,E04
Nike,Chess,5744,E06
RedBull,Athletics,32216,E07
Reliance,Athletics,26619,E07
Reliance,Chess,45083,E06
RedBull,Volleyball,39918,E09
CocaCola,Cricket,20048,E03
Adidas,Tennis,13392,E10
RedBull,Chess,11443,E06
Puma,Badminton,21297,E04
Infosys,Football,8246,E01
Wipro,Table Tennis,38827,E05
CocaCola,Volleyball,28710,E09
Nike,Tennis,42264,E10
Adidas,Swimming,32250,E08
Reliance,Table Tennis,47146,E05
Pepsi,Chess,15938,E06
Tata,Chess,46777,E06
Infosys,Athletics,6397,E07
